"","Antal laddhybrider","Antal elbilar","Antal laddbara fordon","Laddbara fordon/capita","Antal laddpunkter","Antal laddstationer","DC laddstationer","LP/capita","LP/Personbil","Andel av bilbestånd","CPEV"
"KROKOM","135","278","439","2.83","67","19","7","0.43","0.73","4.49","0.15"
"KUMLA","356","407","777","3.46","17","5","0","0.08","0.15","6.52","0.02"
"KUNGSBACKA","2440","3923","6597","7.69","291","54","4","0.34","0.65","14.28","0.04"
"KUNGSÖR","125","125","255","2.91","12","2","2","0.14","0.24","5.06","0.05"
"KUNGÄLV","1005","1632","2796","5.7","176","37","4","0.36","0.72","10.8","0.06"
"KÄVLINGE","609","1226","1858","5.72","57","11","4","0.18","0.33","10.68","0.03"
"KÖPING","406","345","780","2.99","69","14","5","0.26","0.5","5.39","0.09"
"LAHOLM","390","628","1049","3.95","68","13","4","0.26","0.42","6.35","0.06"
"LANDSKRONA","512","842","1420","3.02","70","15","6","0.15","0.35","6.76","0.05"
"LAXÅ","59","106","172","3.08","12","3","3","0.22","0.35","4.77","0.07"
"LEKEBERG","113","187","319","3.64","15","3","2","0.17","0.31","6.11","0.05"
"LEKSAND","236","274","517","3.21","71","25","3","0.44","0.73","5.21","0.14"
"LERUM","888","1568","2500","5.74","87","23","1","0.2","0.42","11.88","0.03"
"LESSEBO","97","129","239","2.82","13","5","1","0.15","0.31","5.33","0.05"
"LIDINGÖ","1458","1428","2942","6.07","18","7","1","0.04","0.1","15.85","0.01"
"LIDKÖPING","1019","1367","2515","6.22","82","12","4","0.2","0.36","10.52","0.03"
"LILLA EDET","239","382","649","4.5","15","3","1","0.1","0.19","7.75","0.02"
"LINDESBERG","357","297","675","2.88","23","6","1","0.1","0.17","4.9","0.03"
"LINKÖPING","4169","4292","8750","5.25","659","81","19","0.4","0.94","12.1","0.08"
"LJUNGBY","481","523","1057","3.71","102","21","10","0.36","0.62","6.09","0.1"
"LJUSDAL","231","207","490","2.61","62","13","9","0.33","0.56","3.98","0.13"
"LJUSNARSBERG","46","31","78","1.73","9","4","0","0.2","0.33","2.8","0.12"
"LOMMA","566","927","1506","6.09","31","5","2","0.13","0.25","12.07","0.02"
"LUDVIKA","411","367","798","3.03","63","17","4","0.24","0.43","5.37","0.08"
"LULEÅ","1566","1747","3443","4.34","97","26","9","0.12","0.24","8.29","0.03"
"LUND","8953","7787","17216","13.41","707","59","7","0.55","1.08","25.63","0.04"
"LYCKSELE","83","99","196","1.6","41","11","5","0.33","0.57","2.55","0.21"
"LYSEKIL","357","394","809","5.71","48","14","0","0.34","0.61","9.47","0.06"
"MALMÖ","9172","9711","19567","5.48","1013","133","15","0.28","0.82","15.28","0.05"
"MALUNG-SÄLEN","224","184","429","4.18","187","38","7","1.82","2.67","5.83","0.44"
"MALÅ","7","17","27","0.89","4","1","1","0.13","0.22","1.3","0.15"
"MARIESTAD","492","517","1062","4.29","49","4","4","0.2","0.35","7.25","0.05"
"MARK","594","863","1499","4.24","16","7","0","0.05","0.08","7.29","0.01"
"MARKARYD","176","163","355","3.49","43","9","5","0.42","0.73","5.73","0.12"
"MELLERUD","115","125","252","2.72","51","10","1","0.55","0.95","4.49","0.2"
"MJÖLBY","532","692","1253","4.4","84","12","7","0.3","0.55","8.02","0.07"
"MORA","377","336","746","3.61","47","14","4","0.23","0.35","5.37","0.06"
"MOTALA","738","891","1680","3.84","34","10","2","0.08","0.15","7.07","0.02"
"MULLSJÖ","88","167","264","3.51","30","3","0","0.4","0.75","6.35","0.11"
"MUNKEDAL","149","239","395","3.73","42","6","4","0.4","0.64","5.93","0.11"
"MUNKFORS","49","19","72","1.95","0","0","0","0.0","0.0","3.03","0.0"
"MÖLNDAL","3263","4971","8457","12.06","543","36","4","0.77","1.78","26.93","0.06"
"MÖNSTERÅS","136","162","309","2.33","18","9","0","0.14","0.24","3.89","0.06"
"MÖRBYLÅNGA","225","352","583","3.65","27","7","1","0.17","0.29","6.22","0.05"
"NACKA","8559","7687","17631","16.1","389","49","5","0.36","0.76","31.9","0.02"
"NORA","148","181","339","3.17","33","10","0","0.31","0.56","5.55","0.1"
"NORBERG","89","74","165","2.93","2","1","1","0.04","0.06","5.11","0.01"
"NORDANSTIG","105","118","230","2.42","11","3","2","0.12","0.19","3.82","0.05"
"NORDMALING","85","103","194","2.75","5","2","1","0.07","0.12","4.48","0.03"
"NORRKÖPING","2479","2816","5763","3.97","220","38","15","0.15","0.34","8.24","0.04"
"NORRTÄLJE","1158","1302","2547","3.88","101","23","1","0.15","0.3","7.27","0.04"
"NORSJÖ","39","59","102","2.58","8","2","1","0.2","0.33","4.06","0.08"
"NYBRO","176","265","471","2.32","10","3","1","0.05","0.09","3.85","0.02"
"NYKVARN","190","256","448","3.84","30","5","2","0.26","0.53","7.9","0.07"
"NYKÖPING","1015","1176","2332","4.02","95","19","8","0.16","0.33","7.56","0.04"
"NYNÄSHAMN","447","504","982","3.27","15","4","1","0.05","0.12","7.56","0.02"
"NÄSSJÖ","460","668","1167","3.65","61","13","5","0.19","0.37","6.83","0.05"
"OCKELBO","54","53","109","1.87","25","10","2","0.43","0.73","3.12","0.23"
"OLOFSTRÖM","165","131","303","2.3","134","20","2","1.02","1.86","4.11","0.44"
"ORSA","79","54","140","2.02","19","8","1","0.27","0.43","3.03","0.14"
"ORUST","256","383","666","4.32","30","7","5","0.19","0.31","6.68","0.05"
"OSBY","171","205","395","2.98","18","5","0","0.14","0.24","5.1","0.05"
"OSKARSHAMN","380","357","797","2.95","65","23","5","0.24","0.44","4.98","0.08"
"OVANÅKER","119","110","239","2.06","3","2","0","0.03","0.04","3.33","0.01"
"OXELÖSUND","164","127","309","2.56","11","2","0","0.09","0.19","4.99","0.04"
"PAJALA","33","27","63","1.07","10","3","2","0.17","0.27","1.64","0.16"
"PARTILLE","820","1097","1954","4.9","28","5","2","0.07","0.17","11.78","0.01"
"PERSTORP","67","70","148","1.99","31","7","1","0.42","0.86","3.78","0.21"
"PITEÅ","535","1021","1640","3.87","51","12","5","0.12","0.2","6.21","0.03"
"RAGUNDA","32","39","74","1.43","13","6","2","0.25","0.39","2.12","0.18"
"ROBERTSFORS","65","137","209","3.09","16","4","2","0.24","0.41","5.17","0.08"
"RONNEBY","436","440","896","3.07","94","27","5","0.32","0.56","5.25","0.1"
"RÄTTVIK","153","157","317","2.86","31","7","5","0.28","0.43","4.28","0.1"
"SALA","297","332","663","2.88","33","11","1","0.14","0.26","5.02","0.05"
"SALEM","331","298","633","3.65","13","4","2","0.07","0.2","9.47","0.02"
"SANDVIKEN","393","533","1032","2.64","190","47","3","0.49","0.88","4.3","0.19"
"SIGTUNA","940","1111","2110","4.07","422","25","6","0.81","2.13","10.37","0.2"
"SIMRISHAMN","309","352","688","3.61","41","11","2","0.21","0.36","5.85","0.06"
"SJÖBO","248","356","616","3.15","36","11","2","0.18","0.31","5.14","0.06"
"SKARA","259","395","698","3.72","40","11","2","0.21","0.39","6.41","0.06"
"SKELLEFTEÅ","1265","1754","3201","4.3","119","26","11","0.16","0.3","7.6","0.04"
"SKINNSKATTEBERG","60","45","107","2.43","0","0","0","0.0","0.0","4.09","0.0"
"SKURUP","191","302","507","3.03","25","6","1","0.15","0.28","5.53","0.05"
"SKÖVDE","1364","1755","3268","5.69","327","28","6","0.57","1.07","10.16","0.1"
"SMEDJEBACKEN","178","162","351","3.21","94","43","1","0.86","1.41","5.1","0.27"
"SOLLEFTEÅ","212","187","411","2.2","36","12","6","0.19","0.31","3.44","0.09"
"SOLLENTUNA","5428","4317","10023","13.15","126","16","9","0.17","0.38","29.16","0.01"
"SOLNA","9041","7238","17966","21.03","308","17","4","0.36","0.8","42.12","0.02"
"SORSELE","3","5","10","0.41","14","4","3","0.57","0.89","0.51","1.4"
"SOTENÄS","261","243","529","5.78","70","11","1","0.76","1.31","9.43","0.13"
