		2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018		3. Är det styrande partiet eller koalitionen av partier i majoritet?	4. Från vilket parti kommer kommun-/landstings-/regionstyrelsens ordförande?		5. Vad heter kommun-/ landstings-/regionstyrelsens tillträdande ordförande?	Kön KSO		6. Från vilket parti kommer kommun-/landstings-/regionfullmäktiges ordförande?		7. Vad heter KFO?	Kön KFO	Är det något angående er kommuns/landstings/regions styrelse eller fullmäktige som bör kommenteras eller förklaras gör det gärna här.	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	
Sigtuna kommun	191	M	C	L	KD					ÖP	Samling för Sigtuna	M,C,L,KD,,,,,ÖP,	B		Majoritet	M		Olov Holst	M		M		Erik Langby	M		M	C	L	KD			MP		ÖP	Samling för Sigtuna	M,C,L,KD,,,MP,,ÖP,	BL
Nynäshamns kommun	192	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Harry Bouveng	M		L		Nicholas Nikander	M	Den nya koalitionen kommer att styra med stöd av Sorundanet och Pensionärspartiet.			L		S		MP				,,L,,S,,MP,,,	BL
Håbo kommun	305	M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B		Minoritet	M		Liselotte Grahn Elg	K		M		Björn Erling	M		M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B
Älvkarleby kommun	319		C			S	V	MP				,C,,,S,V,MP,,,	BL		Majoritet	S		Marie Larsson	K		S		Björn Karlsson	M						S	V	MP				,,,,S,V,MP,,,	V
Knivsta kommun	330	M	C			S	V	MP				M,C,,,S,V,MP,,,	BL		Majoritet	M/C	Alternerar	Klas Bergström byter 2021 av Peter Evansson (S)	M		M		Klas Bergström	M	M och S har gjort upp om att växla ordförandeposter i KF, KS och samhällsutvecklingsnämnden (SUN). I KF blir Klas Bergström (M) ordförande i 2 år och därefter Peter Evansson (S). I KS blir Peter Evansson (S) ordförande de första 2 åren och därefter Klas Bergström (M).	M	C	L	KD							M,C,L,KD,,,,,,	B
Heby kommun	331		C			S						,C,,,S,,,,,	BL		Majoritet	C		Marie Wilén	K		S		Olof Nilsson	M		M	C	L	KD			MP		ÖP	Lokala partiet	M,C,L,KD,,,MP,,ÖP,	B
Tierps kommun	360	M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B		Minoritet	C		Sara Sjödal	K		KD		Lars Svensk	M						S		MP				,,,,S,,MP,,,	V
Uppsala kommun	380			L		S		MP				,,L,,S,,MP,,,	BL		Minoritet	S		Erik Pelling	M		L		Eva Edwardsson	K												,,,,,,,,,	V
Enköpings kommun	381	M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B		Minoritet	M		Ingvar Smedlund	M		S		Rolf Carlsson	M						S				ÖP	Nystart Enköping	,,,,S,,,,ÖP,	V
Östhammars kommun	382		C			S	V					,C,,,S,V,,,,	BL		Majoritet	C		Jacob Spangenberg	M		S		Roger Lamell	M			C			S						,C,,,S,,,,,	BL
Vingåkers kommun	428		C		KD	S		MP				,C,,KD,S,,MP,,,	BL		Majoritet	S		Anneli Bengtsson	K		S		Viking Jonsson	M						S	V	MP				,,,,S,V,MP,,,	V
Gnesta kommun	461	M				S						M,,,,S,,,,,	BL		Minoritet	S		Johan Rocklind	M		M		Sven Anderson	M		M				S						M,,,,S,,,,,	BL
Nyköpings kommun	480		C			S		MP				,C,,,S,,MP,,,	BL		Minoritet	S		Urban Granström	M		S		Carl-Åke Andersson	M						S	V	MP				,,,,S,V,MP,,,	V
Oxelösunds kommun	481					S	V					,,,,S,V,,,,	V		Majoritet	S		Catharina Fredriksson	K		S		Linda Hägglund	K						S	V					,,,,S,V,,,,	V
Flens kommun	482					S	V	MP				,,,,S,V,MP,,,	V		Minoritet	S		Anders Berglöv	M		S		Helén Stockow	K		M			KD	S		MP				M,,,KD,S,,MP,,,	BL
Katrineholms kommun	483	M				S						M,,,,S,,,,,	BL		Majoritet	S		Göran Dahlström	M		S		Torgerd Jansson	M		M				S						M,,,,S,,,,,	BL
Eskilstuna kommun	484	M	C			S						M,C,,,S,,,,,	BL		Majoritet	S		Jimmy Jansson	M		S		Ann-Sofie Wågström	K		M	C			S						M,C,,,S,,,,,	BL
Strängnäs kommun	486	M				S						M,,,,S,,,,,	BL		Majoritet	M		Jacob Högfeldt	M		S		Leif Lindström	M		M				S						M,,,,S,,,,,	BL
Trosa kommun	488	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	M		Daniel Portnoff	M		M		Ann Larson	K		M	C	L	KD							M,C,L,KD,,,,,,	B
Ödeshögs kommun	509		C		KD	S						,C,,KD,S,,,,,	BL		Majoritet	KD		Annicki Oscarsson	K		C		Jonny Ståhl	M			C		KD	S						,C,,KD,S,,,,,	BL
Ydre kommun	512	M	C			S						M,C,,,S,,,,,	BL		Majoritet	C		Sven-Inge Karlsson	M		C		Anders Andersson	M		M	C		KD	S		MP				M,C,,KD,S,,MP,,,	BL
Kinda kommun	513		C	L		S						,C,L,,S,,,,,	BL	Landsbygdspartiet lämnar styret under mandatperioden	Minoritet	S		Conny Forsberg	M		C		Anders Ljung	M		M			KD	S						M,,,KD,S,,,,,	BL
Boxholms kommun	560					S						,,,,S,,,,,	V		Minoritet	S		Claes Sjökvist	M		S		Stig Adolfsson	M						S						,,,,S,,,,,	V
Åtvidabergs kommun	561		C	L		S	V					,C,L,,S,V,,,,	BL		Majoritet	S		Thomas Lidberg	M		S		Elisabet Edlund	K		M				S						M,,,,S,,,,,	BL
Finspångs kommun	562		C		KD	S						,C,,KD,S,,,,,	BL		Minoritet	S		Ulrika Jeansson	K		S		Berit Martinsson	K						S	V	MP				,,,,S,V,MP,,,	V
Valdemarsviks kommun	563		C			S						,C,,,S,,,,,	BL	V lämnar styret under mandatperioden	Minoritet	S		Ted Starkås	M		C		Marie Lindh Eriksson	K						S	V	MP		ÖP	Nybyggarpartiet	,,,,S,V,MP,,ÖP,	V
Linköpings kommun	580	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Niklas Borg	M		C		Lars Vikinge	M				L		S		MP				,,L,,S,,MP,,,	BL
Norrköpings kommun	581		C	L	KD	S						,C,L,KD,S,,,,,	BL		Minoritet	S		Olle Vikmång	M		S		Olle Vikmång	M			C	L	KD	S						,C,L,KD,S,,,,,	BL
Söderköpings kommun	582	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	M		Martin Sjölander	M		KD		Anders Eksmo	M		M				S		MP				M,,,,S,,MP,,,	BL
Motala kommun	583	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Annelie Almérus	K		KD		Nils-Ingvar Graan	M	Styrande har tagit initiativ (ej beslutat ännu) till insynsplatser i de större nämndernas (inkl KS) arbetsutskott för parti som inte har ledamot i arbetsutskottet. Förutsättning är att partiet har ledamot i nämnden/styrelsen och inte ingår i koalition eller valteknisk samverkan med parti som har ledamot i arbetsutskottet.					S	V	MP				,,,,S,V,MP,,,	V
Vadstena kommun	584	M				S		MP				M,,,,S,,MP,,,	BL		Majoritet	M		Peter Karlsson	M		M		Arne Sjöberg	M		M				S		MP				M,,,,S,,MP,,,	V
Mjölby kommun	586		C	L	KD	S		MP				,C,L,KD,S,,MP,,,	BL		Majoritet	S		Cecilia Burenby	K		S		Jörgen Oskarsson	M			C		KD	S		MP				,C,,KD,S,,MP,,,	BL
Aneby kommun	604	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	C		Beata Allen	K		KD		Bengt Samuelsson KD	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Gnosjö kommun	617	M	C		KD							M,C,,KD,,,,,,	B		Minoritet	M		Kristine Hästmark	K		C		Johan Malm	M		M	C	L	KD							M,C,L,KD,,,,,,	B
