		2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018		3. Är det styrande partiet eller koalitionen av partier i majoritet?	4. Från vilket parti kommer kommun-/landstings-/regionstyrelsens ordförande?		5. Vad heter kommun-/ landstings-/regionstyrelsens tillträdande ordförande?	Kön KSO		6. Från vilket parti kommer kommun-/landstings-/regionfullmäktiges ordförande?		7. Vad heter KFO?	Kön KFO	Är det något angående er kommuns/landstings/regions styrelse eller fullmäktige som bör kommenteras eller förklaras gör det gärna här.	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	
Tomelilla kommun	1270	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M/C	Alternerar	Per-Martin Svensson och Leif Sandberg vartannat år.	M		C		Christer Yrjas (C)	M	Per-Martin Svensson (M) och Leif Sandberg (C) kommer att dela på ordförandeskapet. P-M S är kso 2019 och 2021 medan LS är kso 2020 och 2022. Den som inte är kso är då 1:e vice kommunstyrelseordförande och ordförande i kommunstyrelsens arbetsutskott.	M	C	L	KD			MP		ÖP	SPI Välfärden	M,C,L,KD,,,MP,,ÖP,	B
Bromölla kommun	1272		C	L	KD	S	V					,C,L,KD,S,V,,,,	BL	Eric Berntsson (SD) avgår i augusti 2020 och SD är meddelar att de mot bakgrund av det ekonomiska läget inte vill styra i minoritet. Jenny Önnevik (S) väljs under hösten 2020 och tillträder 1 januari 2021.	Minoritet	S		Jenny Önnevik	K		S		Elisabeth Stenberg Michalski	K						S						,,,,S,,,,,	V
Osby kommun	1273	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	C		Niklas Larsson	M		M		Dag Ivarsson	M						S	V	MP				,,,,S,V,MP,,,	V
Perstorps kommun	1275	M	C		KD			MP		ÖP	Perstorps Framtid	M,C,,KD,,,MP,,ÖP,	B		Majoritet	ÖP	Perstorps Framtid	Torgny Lindau	M		M		Håkan Abrahamsson	M		M	C		KD	S						M,C,,KD,S,,,,,	BL
Klippans kommun	1276	M	C			S						M,C,,,S,,,,,	BL		Minoritet	M		Hans-Bertil Sinclair	M		S		Gunilla Svensson	K			C			S		MP				,C,,,S,,MP,,,	BL
Åstorps kommun	1277		C			S						,C,,,S,,,,,	BL		Minoritet	S		Ronny Sandberg	M		S		Per-Arne Håkansson	M	Innan 2018 var Miljöpartiet med som ett valtekniskt samarbete vid fördelning av platser. Efter 2018 är Vänsterpartiet med som ett valtekniskt samarbete		C		KD	S						,C,,KD,S,,,,,	BL
Båstads kommun	1278	M		L	KD	S						M,,L,KD,S,,,,,	BL		Majoritet	M		Johan Olsson Swanstein	M		L		Thomas Andersson	M										ÖP	Bjärepartiet	,,,,,,,,ÖP,	B
Malmö stad	1280			L		S						,,L,,S,,,,,	BL		Minoritet	S		Katrin Stjernfeldt Jammeh	K		S		Carina Nilsson	K	S har valtekniskt samarbete med V och MP. L har lagt ner sina röster vid val av KF ordf. C+L har lagt ner sina röster i val av KS ordförande					S		MP				,,,,S,,MP,,,	V
Lunds kommun	1281	M	C	L	KD					ÖP	För Nya Lund	M,C,L,KD,,,,,ÖP,	B		Majoritet	L		Philip Sandberg	M		M		Mats Helmfrid	M						S		MP				,,,,S,,MP,,,	V
Landskrona stad	1282	M		L				MP				M,,L,,,,MP,,,	B		Minoritet	L		Torkild Strandberg	M		L		Gunlög Stenfelt	K		M		L				MP				M,,L,,,,MP,,,	B
Helsingborgs stad	1283	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Peter Danielsson	M		M		Mats Sander	M		M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B
Höganäs kommun	1284	M	C		KD							M,C,,KD,,,,,,	B		Majoritet	M		Peter Schölander	M		M		Gustaf Wingårdh	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Eslövs kommun	1285	M		L		S						M,,L,,S,,,,,	BL		Majoritet	S		Johan Andersson	M		S		Lena Emilsson	K		M				S						M,,,,S,,,,,	BL
Ystads kommun	1286	M		L	KD							M,,L,KD,,,,,,	B		Minoritet	M		Kristina Bendz	K		M		Henrik Plantin	M			C			S						,C,,,S,,,,,	BL
Trelleborgs kommun	1287	M			KD							M,,,KD,,,,,,	B		Minoritet	M		Mikael Rubin	M		M		Håkan Sjöberg	M			C			S		MP		ÖP	Söderslättspartiet	,C,,,S,,MP,,ÖP,	BL
Kristianstads kommun	1290	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M/L	Alternerar	Pierre Månsson och Peter Johansson	M		M		Bo Silverbern	M	KS ordförande delar på posten, de tar vartannat år. Först är Pierre Månsson(L) och sedan tar Peter Johansson(M) över vid årsskiftet 2019-2020. Därefter byter de igen.		C	L		S						,C,L,,S,,,,,	BL
Simrishamns kommun	1291	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Jeanette Ovesson	K		C		Håkan Erlandsson	M			C	L		S		MP		ÖP	Österlenpartiet	,C,L,,S,,MP,,ÖP,	BL
Ängelholms kommun	1292	M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B		Majoritet	M		Robin Holmberg	M		M		Elisabeth Kullenberg	K				L		S		MP		ÖP	Engelholmspartiet	,,L,,S,,MP,,ÖP,	BL
Hässleholms kommun	1293	M		L	KD							M,,L,KD,,,,,,	B		Minoritet	M		Lars Johnsson	M		M		Douglas Roth	M		M		L	KD							M,,L,KD,,,,,,	B
Hylte kommun	1315			L		S	V			ÖP	Kommunens Väl	,,L,,S,V,,,ÖP,	BL		Majoritet	S		Ronny Löfquist	M		S		Micael Arnström	M				L		S	V	MP		ÖP	SPI Välfärden	,,L,,S,V,MP,,ÖP,	BL
Halmstads kommun	1380	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Jonas Bergman	M		M		Andreas Bergman	M		M	C	L	KD			MP		ÖP	SPI Välfärden	M,C,L,KD,,,MP,,ÖP,	B
Laholms kommun	1381	M	C	L	KD			MP		ÖP	Trygghetspartiet	M,C,L,KD,,,MP,,ÖP,	B		Minoritet	C		Erling Cronqvist	M		M		Jonas Hellsten	M		M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B
Falkenbergs kommun	1382			L	KD	S		MP				,,L,KD,S,,MP,,,	BL		Minoritet	S		Per Svensson	M		S		Jan Dickens	M	De styrande är S,L,KD,MP men de valsamverkar tillsammans (V) Styret är i minoritet men valsamverkansgruppen ger dem majoritet i KF	M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B
Varbergs kommun	1383	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	M		Ann-Charlotte Stenkil	K		M		Gösta Bergenheim	M		M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B
Kungsbacka kommun	1384	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	M		Lisa Andersson	K		M		Anders Ekström	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Härryda kommun	1401	M	C	L	KD					ÖP	Sportpartiet	M,C,L,KD,,,,,ÖP,	B		Majoritet	M		Per Vorberg	M		M		Roger Nordman	M		M	C	L	KD					ÖP	Sportpartiet	M,C,L,KD,,,,,ÖP,	B
Partille kommun	1402	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Marith Hesse	M		M		Inger René	K		M	C	L	KD							M,C,L,KD,,,,,,	B
Öckerö kommun	1407	M		L	KD							M,,L,KD,,,,,,	B		Majoritet	KD		Jan Utbult	M		M		Ingvar Svensson	M		M		L	KD							M,,L,KD,,,,,,	B
Stenungsunds kommun	1415		C			S	V	MP		ÖP	Stenungsundspartiet	,C,,,S,V,MP,,ÖP,	BL		Minoritet	S		Olof Lundberg	M		S		Katja Nikula	K						S	V	MP		ÖP	oberoende	,,,,S,V,MP,,ÖP,	V
Tjörns kommun	1419	M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B		Majoritet	L		Martin Johansen	M		M		Anders G Högmark	M		M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B
Orust kommun	1421	M		L		S				ÖP	Fokviljan Orust	M,,L,,S,,,,ÖP,	BL		Majoritet	S		Catharina Bråkenhielm	K		ÖP	Fokviljan Orust	Hans Pernervik	M												,,,,,,,,,	BL
Sotenäs kommun	1427	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	M		Mats Abrahamsson	M		M		Helene Stranne	K		M	C	L	KD							M,C,L,KD,,,,,,	B
Munkedals kommun	1430	M		L								M,,L,,,,,,,	B		Minoritet	M		Christoffer Rungberg	M		SD		Heikki Klaavuniemi	M	M och L har en valteknisk samverkan och företräder 9 mandat. SD har 9 mandat. S, C, MP, KD och V har en valteknisk samverkan och företräder tillsammans 17 mandat.		C			S		MP				,C,,,S,,MP,,,	BL
Tanums kommun	1435	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	M		Liselotte Fröjd	K		C		Ann-Marie Olofsson	K		M	C	L	KD							M,C,L,KD,,,,,,	B
Dals-Eds kommun	1438	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	C		Martin Carling	M		C		Christina Larsson	K		M	C	L	KD							M,C,L,KD,,,,,,	B
Färgelanda kommun	1439	M	C	L								M,C,L,,,,,,,	B		Minoritet	C		Tobias Bernhardsson	M		C		Thor-Björn Jakobsson	M			C	L		S						,C,L,,S,,,,,	BL
Ale kommun	1440	M	C	L	KD			MP		ÖP	Framtid i Ale	M,C,L,KD,,,MP,,ÖP,	B		Minoritet	M		Mikael Berglund	M		M		Jan Skog	M						S	V	MP		ÖP	Aledemokraterna	,,,,S,V,MP,,ÖP,	V
Lerums kommun	1441	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	M		Alexander Abenius	M		C		Ingela Gyllesten	K			C	L		S		MP				,C,L,,S,,MP,,,	BL
Vårgårda kommun	1442	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	C		Bengt Hilmersson	M		KD		Arne Olsson	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Bollebygds kommun	1443	M	C	L	KD					ÖP	Folkets Röst (FR)	M,C,L,KD,,,,,ÖP,	B		Majoritet	ÖP	Folkets Röst (FR)	Michael Plogell	M		M		Peter Hemlin	M						S	V	MP				,,,,S,V,MP,,,	V
Grästorps kommun	1444	M	C									M,C,,,,,,,,	B		Majoritet	M		Kent Larsson	M		M		Kent Hansson	M	Egentligen har inte samarbetet eller styrande parti ändrats efter valet. Moderaterna är fortfarande störst och har ökat ytterligare. Däremot har kommunen gått från ett till två kommunalråd, varav det tolkas som att centern också är styrande parti.	M										M,,,,,,,,,	B
Essunga kommun	1445	M	C		KD			MP				M,C,,KD,,,MP,,,	B		Majoritet	M		Daniel Andersson	M		C		Tomas Johansson	M		M										M,,,,,,,,,	B
Karlsborgs kommun	1446	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	C		Catarina Davidsson	K		C		Mats Mellblom	M												,,,,,,,,,	BL
Gullspångs kommun	1447		C			S				ÖP	RÄTT VÄG för Gullspångs kommun	,C,,,S,,,,ÖP,	BL		Majoritet	S		Carina Gullberg	K		S		Ann-Christin Erlandsson	K			C			S						,C,,,S,,,,,	BL
Tranemo kommun	1452			L	KD	S	V	MP				,,L,KD,S,V,MP,,,	BL		Majoritet	S		Anders Brolin	M		S		Ulf Thifors	M				L	KD	S	V	MP				,,L,KD,S,V,MP,,,	BL
Bengtsfors kommun	1460	M	C		KD							M,C,,KD,,,,,,	B		Minoritet	M		Stig Bertilsson	M		KD		Jan-Åke Jansson	M				L		S		MP				,,L,,S,,MP,,,	BL
Melleruds kommun	1461	M	C	L	KD			MP		ÖP	Kommunpartiet i Mellerud	M,C,L,KD,,,MP,,ÖP,	B		Majoritet	C		Morgan E Andersson	M		M		Roland Björndahl	M			C			S						,C,,,S,,,,,	BL
Lilla Edets kommun	1462	M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B		Minoritet	C		Julia Färjhage	K		L		Eva Lejdbrandt	K				L		S	V					,,L,,S,V,,,,	BL
Marks kommun	1463		C	L		S						,C,L,,S,,,,,	BL		Minoritet	S		Jessica Rodén	K		C		Eva-Karin Torhem Arnell	K		M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B
Svenljunga kommun	1465			L		S	V					,,L,,S,V,,,,	BL		Minoritet	S		Stefan Carlsson	M		ÖP	Landsbygdspartiet (LPo)	Bertil Hagström	M				L		S				ÖP	Landsbygdspartiet (ingick i styret fram till 2016)	,,L,,S,,,,ÖP,	BL
Herrljunga kommun	1466	M	C		KD					ÖP	Kommunens väl	M,C,,KD,,,,,ÖP,	B		Minoritet	M		Gunnar Andersson	M		M		Andreas Johansson	M	Centerpartiet valde att fortsätta samarbetet med M, KD, och KV, som också har stöd av Sverigedemokraterna.	M	C		KD					ÖP	Kommunens väl	M,C,,KD,,,,,ÖP,	BL
Vara kommun	1470	M	C	L								M,C,L,,,,,,,	B		Minoritet	M		Lars Gezelius	M		C		Elof Jonsson	M			C			S	V	MP				,C,,,S,V,MP,,,	V
Götene kommun	1471	M	C	L	KD			MP		ÖP	Götenes framtid	M,C,L,KD,,,MP,,ÖP,	B		Majoritet	C		Susanne Andersson	K		ÖP	Götenes framtid	Håkan Ernklev	M						S				ÖP	Götenes framtid	,,,,S,,,,ÖP,	V
Tibro kommun	1472		C	L		S						,C,L,,S,,,,,	BL		Majoritet	S		Rolf Eriksson	M		L		Ann Ohlsson	K			C			S	V	MP				,C,,,S,V,MP,,,	BL
Töreboda kommun	1473	M	C	L								M,C,L,,,,,,,	B		Minoritet	M		Bengt Sjöberg	M		C		Karl-Johan Gustavsson	M		M	C	L				MP				M,C,L,,,,MP,,,	B
Göteborgs stad	1480	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Axel Josefsson	M		MP		Åse-Lill Törnqvist	K						S	V	MP		ÖP	Fi	,,,,S,V,MP,,ÖP,	V
Mölndals stad	1481	M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B		Majoritet	M		Kristian Vramsten	M		M		Per Malm	M					KD	S	V	MP				,,,KD,S,V,MP,,,	BL
Kungälvs kommun	1482	M	C			S						M,C,,,S,,,,,	BL		Majoritet	S		Miguel Odhner	M		M		Thomas Alpner	M				L		S	V	MP		ÖP	Utvecklingspartiet	,,L,,S,V,MP,,ÖP,	BL
Lysekils kommun	1484		C	L		S		MP				,C,L,,S,,MP,,,	BL		Minoritet	S		Jan-Olof Johansson	M		S		Klas-Göran Henriksson	M		M	C	L		S						M,C,L,,S,,,,,	BL
Uddevalla kommun	1485	M	C	L		S						M,C,L,,S,,,,,	BL	Vid valet tog M,C,L,KD,MP och Uddevallapartiet makten. M valde våren 2020 att gå in i en ny koalition med S, C och L där S fick posten som kommunstyrelseordförande. Uddevallapartiet, MP och KD lämnade styret.	Majoritet	S		Ingemar Samuelsson	M		C		Elving Andersson	M						S	V	MP				,,,,S,V,MP,,,	V
Strömstads kommun	1486				KD	S	V			ÖP	FI	,,,KD,S,V,,,ÖP,	BL		Minoritet	S		Kent Hansson	M		S		Ronnie Brorsson	M			C	L	KD			MP				,C,L,KD,,,MP,,,	B
Vänersborgs kommun	1487		C			S		MP				,C,,,S,,MP,,,	BL		Minoritet	S		Benny Augustsson	M		C		Annalena Levin	K			C			S		MP				,C,,,S,,MP,,,	BL
Trollhättans stad	1488					S	V	MP				,,,,S,V,MP,,,	V		Majoritet	S		Paul Åkerlund	M		S		Gert-Inge Andersson	M						S						,,,,S,,,,,	V
Alingsås kommun	1489	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Daniel Filipsson	M		L		Jan Kesker	M		M	C	L	KD							M,C,L,KD,,,,,,	V
Borås stad	1490		C	L		S		MP				,C,L,,S,,MP,,,	BL		Minoritet	S		Ulf Olsson	M		S		Per-Olof Höög	M						S	V	MP				,,,,S,V,MP,,,	V
Ulricehamns kommun	1491		C							ÖP	NU, Nya Ulricehamn	,C,,,,,,,ÖP,	B		Minoritet	C		Roland Karlsson	M		ÖP	NU, Nya Ulricehamn	Dario Mihajlovic	M			C	L		S						,C,L,,S,,,,,	V
Åmåls kommun	1492					S	V	MP				,,,,S,V,MP,,,	V		Majoritet	S		Michael Karlsson	M		MP		Lotta Robertsson Harén (MP)	K						S	V	MP				,,,,S,V,MP,,,	V
Mariestads kommun	1493	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	M		Johan Abrahamsson	M		C		Jan Wahn	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Lidköpings kommun	1494		C		KD	S		MP				,C,,KD,S,,MP,,,	BL		Majoritet	S		Jonas Sundström	M		S		Carina Ohlsson	K						S	V	MP				,,,,S,V,MP,,,	V
Skara kommun	1495	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Ylva Pettersson	K		M		Jan-Olof Bohlin	M				L		S	V	MP				,,L,,S,V,MP,,,	BL
Skövde kommun	1496	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Katarina Jonsson	K		KD		Conny Brännberg	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Hjo kommun	1497	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	M		Catrin Hulmarker	K		KD		Michael Kihlström	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Tidaholms kommun	1498	M	C	L	KD			MP	SD		Tre vildar	M,C,L,KD,,,MP,SD,,	BL	MP lämnar styret med S+V under mandatperioden. Okt 2021: Maktskifte då tidigare opposition (KD, L, C, M, MP, SD och tre vildar (S+2 M)) inleder budgetsamarbete med majoritet i KF	Majoritet	L		Runo Johansson	M		S		Erik Ezelius	M						S	V					,,,,S,V,,,,	V
Falköpings kommun	1499	M	C	L	KD		V	MP				M,C,L,KD,,V,MP,,,	BL	S, C, KD-samarbete spricker i juni 2019	Majoritet	M		Adam Johansson	M		S		Patrik Björck	M			C		KD	S						,C,,KD,S,,,,,	BL
Kils kommun	1715		C			S						,C,,,S,,,,,	BL		Majoritet	S		Anders Johansson	M		S		Rita Gunnarsson	K			C			S						,C,,,S,,,,,	BL
Eda kommun	1730		C		KD		V			ÖP	Hela Edas Lista	,C,,KD,,V,,,ÖP,	BL		Minoritet	C		Johanna Söderberg	K		ÖP	Hela Edas Lista	Bo-Inge Nilsson	M							V			ÖP	Hela Edas Lista	,,,,,V,,,ÖP,	BL
Torsby kommun	1737		C	L		S						,C,L,,S,,,,,	BL		Majoritet	S		Peter Jonnson	M		S		Zenitha Bäck	K			C	L		S						,C,L,,S,,,,,	BL
Storfors kommun	1760					S	V					,,,,S,V,,,,	V		Majoritet	S		Hans Jildesten	M		S		Thomas Backeli	M						S	V					,,,,S,V,,,,	V
Hammarö kommun	1761		C			S	V	MP				,C,,,S,V,MP,,,	BL	C, MP hoppade av blågröna Hammarösmaverkan i juli 2020.	Majoritet	S		Solweig Gard	K		L		Peter Johansson	M			C			S	V					,C,,,S,V,,,,	BL
Munkfors kommun	1762					S						,,,,S,,,,,	V		Majoritet	S		Mathias Lindquist	M		S		Pia Falk	K						S						,,,,S,,,,,	V
Forshaga kommun	1763		C			S						,C,,,S,,,,,	BL		Majoritet	S		Per Lawén	M		S		Bertil Hagelin	M						S						,,,,S,,,,,	V
Grums kommun	1764					S						,,,,S,,,,,	V		Majoritet	S		Malin Hagström	K		S		Ulrika Nilsson	K						S						,,,,S,,,,,	V
Årjängs kommun	1765		C			S		MP				,C,,,S,,MP,,,	BL		Majoritet	S		Daniel Schützer	M		C		Katarina Johannesson	K		M		L	KD	S						M,,L,KD,S,,,,,	BL
Sunne kommun	1766		C			S						,C,,,S,,,,,	BL		Majoritet	C		Kristina Lundberg	K		C		Karl-Johan Adolfsson	M		M	C	L								M,C,L,,,,,,,	B
Karlstads kommun	1780	M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B		Minoritet	M		Per-Samul Nisser	M		M		Anders Knape	M		M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B
Kristinehamns kommun	1781	M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B		Majoritet	M		Marie Oudin	K		C		Anders Ölmhult	M						S	V	MP				,,,,S,V,MP,,,	V
Filipstads kommun	1782					S	V					,,,,S,V,,,,	V		Majoritet	S		Åsa Hååkman Felth	K		S		Marina Isaksson	K					KD	S	V	MP				,,,KD,S,V,MP,,,	BL
Hagfors kommun	1783									ÖP	Oberoende Realister	,,,,,,,,ÖP,	Ö		Minoritet	ÖP	OR	Jens Fischer	M		ÖP	OR	Peter Åkerström	M						S						,,,,S,,,,,	V
Arvika kommun	1784					S	V	MP				,,,,S,V,MP,,,	V		Majoritet	S		Peter Söderström	M		S		Lars-Ove Jansson	M						S	V	MP				,,,,S,V,MP,,,	V
Säffle kommun	1785	M	C	L	KD					ÖP	Sjukvårdspartiet i Värmland (SiV)	M,C,L,KD,,,,,ÖP,	B		Majoritet	C		Dag Rogne	M		C		Lisbet Westerberg	K		M	C	L	KD			MP		ÖP	Sjukvårdspartiet i Värmland (SiV)	M,C,L,KD,,,MP,,ÖP,	B
Lekebergs kommun	1814		C			S						,C,,,S,,,,,	BL		Majoritet	C		Wendla Thorstensson	K		S		Mikael Bergdahl	M		M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B
Laxå kommun	1860		C		KD			MP				,C,,KD,,,MP,,,	B		Majoritet	C		Johan Niklasson	M		C		Arne Augustsson	M			C	L	KD			MP				,C,L,KD,,,MP,,,	B
Hallsbergs kommun	1861					S						,,,,S,,,,,	V		Minoritet	S		Magnus Andersson	M		S		Hans Karlsson	M						S		MP				,,,,S,,MP,,,	V
Degerfors kommun	1862					S	V					,,,,S,V,,,,	V	V och S tar över styret efter M,C,L,S	Majoritet	V		Anneli Mylly	K		S		Marianne Högberg	K							V					,,,,,V,,,,	V
Hällefors kommun	1863					S	V					,,,,S,V,,,,	V		Majoritet	S		Annalena Järnberg	K		S		Susanne Grundström	K		M				S				ÖP	Grythyttelistan	M,,,,S,,,,ÖP,	BL
Ljusnarsbergs kommun	1864			L		S	V	MP				,,L,,S,V,MP,,,	BL		Majoritet	S		Ewa-Leena Johansson	K		S		Ken karlsson	M						S	V	MP				,,,,S,V,MP,,,	V
Örebro kommun	1880		C		KD	S					Valteknisk samverkan med (V)	,C,,KD,S,,,,,	BL		Minoritet	S		Kenneth Handberg	M		S		Agneta Blom	K			C		KD	S				ÖP	Valteknisk samverkan med (V)	,C,,KD,S,,,,ÖP,	BL
Kumla kommun	1881	M				S						M,,,,S,,,,,	BL		Majoritet	S		Katarina Hansson	K		M		Åsa Windahl	K		M				S						M,,,,S,,,,,	BL
Askersunds kommun	1882	M		L	KD							M,,L,KD,,,,,,	B		Minoritet	M		Caroline Dieker	K		M		Calill Ohlson	K						S		MP				,,,,S,,MP,,,	V
Karlskoga kommun	1883	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Tony Ring	M		M		Anna Ragén	K				L		S	V					,,L,,S,V,,,,	BL
Nora kommun	1884	M	C	L	KD	S						M,C,L,KD,S,,,,,	BL		Majoritet	M/S	Alternerar	Tom Rymoen (M) och Solveig Oscarsson (S)	M/K		S		Per Andreasson	M	Posterna som ordförande och vice ordförande i kommunstyrelsen kommer att delas mellan Tom Rymoen och Solveig Oscarsson (S) vart annat år. Tom är kso och Solveig vice kso år 1 och sedan byte vart annat år. Båda två är kommunalråd på 100 procent.					S						,,,,S,,,,,	V
Lindesbergs kommun	1885		C			S	V					,C,,,S,V,,,,	BL		Majoritet	S		Bengt Storbacka	M		S		Arnold Bengtsson	M			C			S	V					,C,,,S,V,,,,	BL
Skinnskattebergs kommun	1904					S						,,,,S,,,,,	V		Minoritet	S		Lena Lovén-Rolén	K		S		Aneth Arvidsson	K	Kommunstyrelsen består av 11 ledamöter. Socialdemokraterna har 5 mandat, L+M+C (valsamverkan) har 4 mandat och Sverigedemokraterna har 2 mandat. Kommunfullmäktige består av 31 ledamöter: Moderaterna 2 Centerpartiet 2 Liberalerna 7 Socialdemokraterna 12 Vänsterpartiet 2 Sverigedemokraterna 6	M	C	L								M,C,L,,,,,,,	B
Surahammars kommun	1907	M	C	L	KD				SD			M,C,L,KD,,,,SD,,	Ö	S avbryter samarbetet med C (även V ingick i styret) som en följd av de brister (ledarskap, styrning och beslutsfattande) som avslöjats i en extern granskning (KPMG) av samhällsbyggnadsförvaltningen. M, C, L, KD och SD inleder samarbete.	Majoritet	M		Johanna Olofsson	K		S		Christina Waster Jansson	K			C			S						,C,,,S,,,,,	BL
Kungsörs kommun	1960			L		S	V					,,L,,S,V,,,,	BL		Minoritet	S		Mikael Peterson	M		S		Per Strengbom	M				L		S	V	MP				,,L,,S,V,MP,,,	BL
Hallstahammars kommun	1961		C	L		S						,C,L,,S,,,,,	BL		Majoritet	S		Catarina Pettersson	K		S		Rolf Hahre	M						S	V	MP				,,,,S,V,MP,,,	V
Norbergs kommun	1962					S	V					,,,,S,V,,,,	V		Majoritet	S		Johanna Odö	K		S		Sten Nordström	M	S+V har valteknisk samverkan, inte gemensamt styre.					S	V					,,,,S,V,,,,	V
Västerås stad	1980		C	L		S		MP				,C,L,,S,,MP,,,	BL		Majoritet	S		Staffan Jansson	M		S		Anders Teljebäck	M			C		KD	S		MP				,C,,KD,S,,MP,,,	BL
Sala kommun	1981	M	C	L	KD					ÖP	Salas Bästa	M,C,L,KD,,,,,ÖP,	B		Minoritet	C		Anders Wigelsbo	M		C		Carola Gunnarsson	K		M	C	L	KD					ÖP	Salas Bästa	M,C,L,KD,,,,,ÖP,	B
Fagersta kommun	1982	M		L		S				ÖP	Sjukvårdspartiet - Västmanland	M,,L,,S,,,,ÖP,	BL		Majoritet	S		Marino Wallsten	M		S		Åsa-Märta Sjöström	K		M				S						M,,,,S,,,,,	V
Köpings kommun	1983	M		L		S	V					M,,L,,S,V,,,,	BL		Majoritet	S		Annika Duàn	K		S		Carl-Inge Westberg	M						S	V	MP				,,,,S,V,MP,,,	V
Arboga kommun	1984	M	C	L	KD		V	MP		ÖP	Omsorgspartiet i Arboga	M,C,L,KD,,V,MP,,ÖP,	BL		Majoritet	M		Jonna Lindman	K		M		Mats Öhgren	M		M	C	L	KD		V	MP		ÖP	Omsorgspartiet i Arboga	M,C,L,KD,,V,MP,,ÖP,	BL
Vansbro kommun	2021	M	C		KD					ÖP	Landsbygdspartiet oberoende	M,C,,KD,,,,,ÖP,	B		Majoritet	C		Stina Munters	K		C		Uwe Weigel	M		M	C	L	KD							M,C,L,KD,,,,,,	BL
Malung-Sälens kommun	2023		C	L		S						,C,L,,S,,,,,	BL		Majoritet	S		Hans Unander	M		S		Jörgen Norén	M			C			S	V					,C,,,S,V,,,,	BL
Gagnefs kommun	2026	M	C			S						M,C,,,S,,,,,	BL		Majoritet	C		Fredrik Jarl	M		S		Alf Johansson	M						S	V	MP		ÖP	KOSA	,,,,S,V,MP,,ÖP,	V
Leksands kommun	2029	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	C		Ulrika Liljeberg	K		C		Per-Erik Ingels	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Rättviks kommun	2031	M	C		KD							M,C,,KD,,,,,,	B		Majoritet	C		Jonny Jones	M		C		Anna-Maja Roos	K		M	C	L	KD							M,C,L,KD,,,,,,	B
Orsa kommun	2034		C		KD			MP				,C,,KD,,,MP,,,	B		Majoritet	C		Mikael Thalin	M		C		Anne-Marie Fröjdh	K			C	L	KD			MP				,C,L,KD,,,MP,,,	B
Älvdalens kommun	2039		C	L		S						,C,L,,S,,,,,	BL		Majoritet	C		Kjell Tenn	M		S		Stig Olsson	M						S		MP				,,,,S,,MP,,,	V
Smedjebackens kommun	2061					S	V	MP				,,,,S,V,MP,,,	V		Majoritet	S		Fredrik Rönning	M		S		Carin Runeson	K						S	V	MP				,,,,S,V,MP,,,	V
